Hour Index,Inflated to 2020 prices,,,adjusted_value = (old_value * cpi_current) / cpi_old,,,,,,,Year,Annual,,,,,,($/kWh),,,,Inflated to 2020 prices
81,0.036353016,,,,,,,,,,,,,,,,,0.03591,,,,0.036353016
82,0.032060708,,,,,,,,,,,,,,,,,0.03167,,,,0.032060708
83,0.029013574,,,,,,,,,,,,,,,,,0.02866,,,,0.029013574
84,0.026401745,,,,,,,,,,,,,,,,,0.02608,,,,0.026401745
85,0.023901273,,,,,,,,,,,,,,,,,0.02361,,,,0.023901273
86,0.023263501,,,,,,,,,,,,,,,,,0.02298,,,,0.023263501
87,0.021957586,,,,,,,,,,,,,,,,,0.02169,,,,0.021957586
88,0.021289444,,,,,,,,,,,,,,,,,0.02103,,,,0.021289444
89,0.022858566,,,,,,,,,,,,,,,,,0.02258,,,,0.022858566
90,0.034996485,,,,,,,,,,,,,,,,,0.03457,,,,0.034996485
91,0.032374532,,,,,,,,,,,,,,,,,0.03198,,,,0.032374532
92,0.026654829,,,,,,,,,,,,,,,,,0.02633,,,,0.026654829
93,0.026907913,,,,,,,,,,,,,,,,,0.02658,,,,0.026907913
94,0.027505192,,,,,,,,,,,,,,,,,0.02717,,,,0.027505192
95,0.024397318,,,,,,,,,,,,,,,,,0.0241,,,,0.024397318
96,0.022828196,,,,,,,,,,,,,,,,,0.02255,,,,0.022828196
97,0.021461541,,,,,,,,,,,,,,,,,0.0212,,,,0.021461541
98,0.020236613,,,,,,,,,,,,,,,,,0.01999,,,,0.020236613
99,0.02007464,,,,,,,,,,,,,,,,,0.01983,,,,0.02007464
100,0.019639335,,,,,,,,,,,,,,,,,0.0194,,,,0.019639335
101,0.020844016,,,,,,,,,,,,,,,,,0.02059,,,,0.020844016
102,0.022828196,,,,,,,,,,,,,,,,,0.02255,,,,0.022828196
103,0.026037304,,,,,,,,,,,,,,,,,0.02572,,,,0.026037304
104,0.029388139,,,,,,,,,,,,,,,,,0.02903,,,,0.029388139
105,0.031433059,,,,,,,,,,,,,,,,,0.03105,,,,0.031433059
106,0.030349859,,,,,,,,,,,,,,,,,0.02998,,,,0.030349859
107,0.0251262,,,,,,,,,,,,,,,,,0.02482,,,,0.0251262
108,0.023344488,,,,,,,,,,,,,,,,,0.02306,,,,0.023344488
109,0.023030663,,,,,,,,,,,,,,,,,0.02275,,,,0.023030663
110,0.021846229,,,,,,,,,,,,,,,,,0.02158,,,,0.021846229
111,0.020509944,,,,,,,,,,,,,,,,,0.02026,,,,0.020509944
112,0.019781062,,,,,,,,,,,,,,,,,0.01954,,,,0.019781062
113,0.019821555,,,,,,,,,,,,,,,,,0.01958,,,,0.019821555
114,0.024235344,,,,,,,,,,,,,,,,,0.02394,,,,0.024235344
115,0.021886723,,,,,,,,,,,,,,,,,0.02162,,,,0.021886723
116,0.020206243,,,,,,,,,,,,,,,,,0.01996,,,,0.020206243
117,0.019629211,,,,,,,,,,,,,,,,,0.01939,,,,0.019629211
118,0.018586504,,,,,,,,,,,,,,,,,0.01836,,,,0.018586504
119,0.019517854,,,,,,,,,,,,,,,,,0.01928,,,,0.019517854
120,0.01728059,,,,,,,,,,,,,,,,,0.01707,,,,0.01728059
121,0.017098369,,,,,,,,,,,,,,,,,0.01689,,,,0.017098369
122,0.016156896,,,,,,,,,,,,,,,,,0.01596,,,,0.016156896
123,0.016369487,,,,,,,,,,,,,,,,,0.01617,,,,0.016369487
124,0.016369487,,,,,,,,,,,,,,,,,0.01617,,,,0.016369487
125,0.018141076,,,,,,,,,,,,,,,,,0.01792,,,,0.018141076
126,0.018981316,,,,,,,,,,,,,,,,,0.01875,,,,0.018981316
127,0.017685525,,,,,,,,,,,,,,,,,0.01747,,,,0.017685525
128,0.019396374,,,,,,,,,,,,,,,,,0.01916,,,,0.019396374
129,0.022139807,,,,,,,,,,,,,,,,,0.02187,,,,0.022139807
130,0.022079067,,,,,,,,,,,,,,,,,0.02181,,,,0.022079067
131,0.019750692,,,,,,,,,,,,,,,,,0.01951,,,,0.019750692
132,0.018313173,,,,,,,,,,,,,,,,,0.01809,,,,0.018313173
133,0.017442564,,,,,,,,,,,,,,,,,0.01723,,,,0.017442564
134,0.016855408,,,,,,,,,,,,,,,,,0.01665,,,,0.016855408
135,0.016197389,,,,,,,,,,,,,,,,,0.016,,,,0.016197389
136,0.016136649,,,,,,,,,,,,,,,,,0.01594,,,,0.016136649
137,0.016713681,,,,,,,,,,,,,,,,,0.01651,,,,0.016713681
138,0.021471664,,,,,,,,,,,,,,,,,0.02121,,,,0.021471664
139,0.02118821,,,,,,,,,,,,,,,,,0.02093,,,,0.02118821
140,0.019335634,,,,,,,,,,,,,,,,,0.0191,,,,0.019335634
141,0.017493181,,,,,,,,,,,,,,,,,0.01728,,,,0.017493181
142,0.016754175,,,,,,,,,,,,,,,,,0.01655,,,,0.016754175
143,0.016531461,,,,,,,,,,,,,,,,,0.01633,,,,0.016531461
144,0.016308747,,,,,,,,,,,,,,,,,0.01611,,,,0.016308747
145,0.012127795,,,,,,,,,,,,,,,,,0.01198,,,,0.012127795
146,0.011581133,,,,,,,,,,,,,,,,,0.01144,,,,0.011581133
147,0.01262384,,,,,,,,,,,,,,,,,0.01247,,,,0.01262384
148,0.012633964,,,,,,,,,,,,,,,,,0.01248,,,,0.012633964
149,0.015751961,,,,,,,,,,,,,,,,,0.01556,,,,0.015751961
150,0.019366004,,,,,,,,,,,,,,,,,0.01913,,,,0.019366004
151,0.019214153,,,,,,,,,,,,,,,,,0.01898,,,,0.019214153
152,0.021896846,,,,,,,,,,,,,,,,,0.02163,,,,0.021896846
153,0.021906969,,,,,,,,,,,,,,,,,0.02164,,,,0.021906969
154,0.022473878,,,,,,,,,,,,,,,,,0.0222,,,,0.022473878
155,0.022200547,,,,,,,,,,,,,,,,,0.02193,,,,0.022200547
156,0.022494125,,,,,,,,,,,,,,,,,0.02222,,,,0.022494125
157,0.02305091,,,,,,,,,,,,,,,,,0.02277,,,,0.02305091
158,0.023263501,,,,,,,,,,,,,,,,,0.02298,,,,0.023263501
159,0.022544741,,,,,,,,,,,,,,,,,0.02227,,,,0.022544741
160,0.022544741,,,,,,,,,,,,,,,,,0.02227,,,,0.022544741
161,0.022777579,,,,,,,,,,,,,,,,,0.0225,,,,0.022777579
162,0.040574461,,,,,,,,,,,,,,,,,0.04008,,,,0.040574461
163,0.031655773,,,,,,,,,,,,,,,,,0.03127,,,,0.031655773
164,0.022878813,,,,,,,,,,,,,,,,,0.0226,,,,0.022878813
165,0.022484001,,,,,,,,,,,,,,,,,0.02221,,,,0.022484001
166,0.022382768,,,,,,,,,,,,,,,,,0.02211,,,,0.022382768
167,0.021016113,,,,,,,,,,,,,,,,,0.02076,,,,0.021016113
168,0.018910452,,,,,,,,,,,,,,,,,0.01868,,,,0.018910452
169,0.015812701,,,,,,,,,,,,,,,,,0.01562,,,,0.015812701
170,0.015539371,,,,,,,,,,,,,,,,,0.01535,,,,0.015539371
171,0.015620357,,,,,,,,,,,,,,,,,0.01543,,,,0.015620357
172,0.017078123,,,,,,,,,,,,,,,,,0.01687,,,,0.017078123
173,0.018120829,,,,,,,,,,,,,,,,,0.0179,,,,0.018120829
174,0.021117347,,,,,,,,,,,,,,,,,0.02086,,,,0.021117347
175,0.023840533,,,,,,,,,,,,,,,,,0.02355,,,,0.023840533
176,0.026745939,,,,,,,,,,,,,,,,,0.02642,,,,0.026745939
177,0.025278051,,,,,,,,,,,,,,,,,0.02497,,,,0.025278051
178,0.022322027,,,,,,,,,,,,,,,,,0.02205,,,,0.022322027
179,0.022757332,,,,,,,,,,,,,,,,,0.02248,,,,0.022757332
180,0.020904756,,,,,,,,,,,,,,,,,0.02065,,,,0.020904756
181,0.021664008,,,,,,,,,,,,,,,,,0.0214,,,,0.021664008
182,0.02202845,,,,,,,,,,,,,,,,,0.02176,,,,0.02202845
183,0.021805736,,,,,,,,,,,,,,,,,0.02154,,,,0.021805736
184,0.021441294,,,,,,,,,,,,,,,,,0.02118,,,,0.021441294
185,0.02205882,,,,,,,,,,,,,,,,,0.02179,,,,0.02205882
186,0.041789265,,,,,,,,,,,,,,,,,0.04128,,,,0.041789265
187,0.032708603,,,,,,,,,,,,,,,,,0.03231,,,,0.032708603
188,0.025774096,,,,,,,,,,,,,,,,,0.02546,,,,0.025774096
189,0.02494398,,,,,,,,,,,,,,,,,0.02464,,,,0.02494398
190,0.025409655,,,,,,,,,,,,,,,,,0.0251,,,,0.025409655
191,0.022271411,,,,,,,,,,,,,,,,,0.022,,,,0.022271411
192,0.021512158,,,,,,,,,,,,,,,,,0.02125,,,,0.021512158
193,0.019406497,,,,,,,,,,,,,,,,,0.01917,,,,0.019406497
194,0.018748478,,,,,,,,,,,,,,,,,0.01852,,,,0.018748478
195,0.019487484,,,,,,,,,,,,,,,,,0.01925,,,,0.019487484
196,0.019214153,,,,,,,,,,,,,,,,,0.01898,,,,0.019214153
197,0.020793399,,,,,,,,,,,,,,,,,0.02054,,,,0.020793399
198,0.021825982,,,,,,,,,,,,,,,,,0.02156,,,,0.021825982
199,0.034024641,,,,,,,,,,,,,,,,,0.03361,,,,0.034024641
200,0.029631099,,,,,,,,,,,,,,,,,0.02927,,,,0.029631099
201,0.026098044,,,,,,,,,,,,,,,,,0.02578,,,,0.026098044
202,0.026239771,,,,,,,,,,,,,,,,,0.02592,,,,0.026239771
203,0.023314117,,,,,,,,,,,,,,,,,0.02303,,,,0.023314117
204,0.022463755,,,,,,,,,,,,,,,,,0.02219,,,,0.022463755
205,0.021947463,,,,,,,,,,,,,,,,,0.02168,,,,0.021947463
206,0.020955373,,,,,,,,,,,,,,,,,0.0207,,,,0.020955373
207,0.02028723,,,,,,,,,,,,,,,,,0.02004,,,,0.02028723
208,0.02022649,,,,,,,,,,,,,,,,,0.01998,,,,0.02022649
209,0.021005989,,,,,,,,,,,,,,,,,0.02075,,,,0.021005989
210,0.029661469,,,,,,,,,,,,,,,,,0.0293,,,,0.029661469
211,0.031949351,,,,,,,,,,,,,,,,,0.03156,,,,0.031949351
212,0.024549168,,,,,,,,,,,,,,,,,0.02425,,,,0.024549168
213,0.024549168,,,,,,,,,,,,,,,,,0.02425,,,,0.024549168
214,0.024154357,,,,,,,,,,,,,,,,,0.02386,,,,0.024154357
215,0.022666222,,,,,,,,,,,,,,,,,0.02239,,,,0.022666222
216,0.021441294,,,,,,,,,,,,,,,,,0.02118,,,,0.021441294
217,0.018262557,,,,,,,,,,,,,,,,,0.01804,,,,0.018262557
218,0.017837375,,,,,,,,,,,,,,,,,0.01762,,,,0.017837375
219,0.017503304,,,,,,,,,,,,,,,,,0.01729,,,,0.017503304
220,0.018141076,,,,,,,,,,,,,,,,,0.01792,,,,0.018141076
221,0.018961069,,,,,,,,,,,,,,,,,0.01873,,,,0.018961069
222,0.020945249,,,,,,,,,,,,,,,,,0.02069,,,,0.020945249
223,0.036818691,,,,,,,,,,,,,,,,,0.03637,,,,0.036818691
224,0.028061977,,,,,,,,,,,,,,,,,0.02772,,,,0.028061977
225,0.023850656,,,,,,,,,,,,,,,,,0.02356,,,,0.023850656
226,0.022585235,,,,,,,,,,,,,,,,,0.02231,,,,0.022585235
227,0.021704502,,,,,,,,,,,,,,,,,0.02144,,,,0.021704502
228,0.020844016,,,,,,,,,,,,,,,,,0.02059,,,,0.020844016
229,0.02007464,,,,,,,,,,,,,,,,,0.01983,,,,0.02007464
230,0.019912666,,,,,,,,,,,,,,,,,0.01967,,,,0.019912666
231,0.019031933,,,,,,,,,,,,,,,,,0.0188,,,,0.019031933
232,0.018768725,,,,,,,,,,,,,,,,,0.01854,,,,0.018768725
233,0.019497608,,,,,,,,,,,,,,,,,0.01926,,,,0.019497608
234,0.026006933,,,,,,,,,,,,,,,,,0.02569,,,,0.026006933
235,0.024265714,,,,,,,,,,,,,,,,,0.02397,,,,0.024265714
236,0.020914879,,,,,,,,,,,,,,,,,0.02066,,,,0.020914879
237,0.020489698,,,,,,,,,,,,,,,,,0.02024,,,,0.020489698
238,0.020449204,,,,,,,,,,,,,,,,,0.0202,,,,0.020449204
239,0.018799095,,,,,,,,,,,,,,,,,0.01857,,,,0.018799095
240,0.017472934,,,,,,,,,,,,,,,,,0.01726,,,,0.017472934
241,0.016814915,,,,,,,,,,,,,,,,,0.01661,,,,0.016814915
242,0.016895902,,,,,,,,,,,,,,,,,0.01669,,,,0.016895902
243,0.016713681,,,,,,,,,,,,,,,,,0.01651,,,,0.016713681
244,0.016541584,,,,,,,,,,,,,,,,,0.01634,,,,0.016541584
245,0.018637121,,,,,,,,,,,,,,,,,0.01841,,,,0.018637121
246,0.019457114,,,,,,,,,,,,,,,,,0.01922,,,,0.019457114
247,0.023162267,,,,,,,,,,,,,,,,,0.02288,,,,0.023162267
248,0.022423261,,,,,,,,,,,,,,,,,0.02215,,,,0.022423261
249,0.021319814,,,,,,,,,,,,,,,,,0.02106,,,,0.021319814
250,0.020793399,,,,,,,,,,,,,,,,,0.02054,,,,0.020793399
251,0.020469451,,,,,,,,,,,,,,,,,0.02022,,,,0.020469451
252,0.019740568,,,,,,,,,,,,,,,,,0.0195,,,,0.019740568
253,0.018687738,,,,,,,,,,,,,,,,,0.01846,,,,0.018687738
254,0.018657368,,,,,,,,,,,,,,,,,0.01843,,,,0.018657368
255,0.01836379,,,,,,,,,,,,,,,,,0.01814,,,,0.01836379
256,0.019406497,,,,,,,,,,,,,,,,,0.01917,,,,0.019406497
257,0.019922789,,,,,,,,,,,,,,,,,0.01968,,,,0.019922789
258,0.028811107,,,,,,,,,,,,,,,,,0.02846,,,,0.028811107
259,0.02873012,,,,,,,,,,,,,,,,,0.02838,,,,0.02873012
260,0.024154357,,,,,,,,,,,,,,,,,0.02386,,,,0.024154357
261,0.022038573,,,,,,,,,,,,,,,,,0.02177,,,,0.022038573
262,0.022038573,,,,,,,,,,,,,,,,,0.02177,,,,0.022038573
263,0.019720322,,,,,,,,,,,,,,,,,0.01948,,,,0.019720322
264,0.019538101,,,,,,,,,,,,,,,,,0.0193,,,,0.019538101
265,0.020044269,,,,,,,,,,,,,,,,,0.0198,,,,0.020044269
266,0.019011686,,,,,,,,,,,,,,,,,0.01878,,,,0.019011686
267,0.018141076,,,,,,,,,,,,,,,,,0.01792,,,,0.018141076
268,0.017705771,,,,,,,,,,,,,,,,,0.01749,,,,0.017705771
269,0.018596628,,,,,,,,,,,,,,,,,0.01837,,,,0.018596628
270,0.018130953,,,,,,,,,,,,,,,,,0.01791,,,,0.018130953
271,0.01926477,,,,,,,,,,,,,,,,,0.01903,,,,0.01926477
272,0.020054393,,,,,,,,,,,,,,,,,0.01981,,,,0.020054393
273,0.020844016,,,,,,,,,,,,,,,,,0.02059,,,,0.020844016
274,0.0210971,,,,,,,,,,,,,,,,,0.02084,,,,0.0210971
275,0.020024023,,,,,,,,,,,,,,,,,0.01978,,,,0.020024023
276,0.020084763,,,,,,,,,,,,,,,,,0.01984,,,,0.020084763
277,0.02019612,,,,,,,,,,,,,,,,,0.01995,,,,0.02019612
278,0.020520068,,,,,,,,,,,,,,,,,0.02027,,,,0.020520068
279,0.021107223,,,,,,,,,,,,,,,,,0.02085,,,,0.021107223
280,0.020925003,,,,,,,,,,,,,,,,,0.02067,,,,0.020925003
281,0.021653885,,,,,,,,,,,,,,,,,0.02139,,,,0.021653885
282,0.030592819,,,,,,,,,,,,,,,,,0.03022,,,,0.030592819
283,0.038043619,,,,,,,,,,,,,,,,,0.03758,,,,0.038043619
284,0.030532079,,,,,,,,,,,,,,,,,0.03016,,,,0.030532079
